rank_group,polarity,tag,design_count,total_designs,prevalence_pct
Rank 4+,positive,phasing,1,251,0.398406374501992
Rank 4+,positive,privacy,12,251,4.780876494023905
Rank 4+,positive,proportion,68,251,27.09163346613546
Rank 4+,positive,regulatory compliance,0,251,0.0
Rank 4+,positive,safety,13,251,5.179282868525896
Rank 4+,positive,scale,80,251,31.872509960159363
Rank 4+,positive,structure,103,251,41.03585657370518
Rank 4+,positive,sustainability,86,251,34.26294820717131
Rank 4+,positive,topography,49,251,19.52191235059761
Rank 4+,positive,urban integration,205,251,81.67330677290836
Rank 4+,positive,ventilation,9,251,3.585657370517928
Rank 4+,positive,visibility,55,251,21.91235059760956
Rank 4+,negative,accessibility,83,251,33.06772908366534
Rank 4+,negative,acoustics,26,251,10.358565737051793
Rank 4+,negative,circulation,213,251,84.86055776892431
Rank 4+,negative,comfort,3,251,1.1952191235059761
Rank 4+,negative,cost,105,251,41.832669322709165
Rank 4+,negative,daylight,117,251,46.613545816733065
Rank 4+,negative,durability,0,251,0.0
Rank 4+,negative,expression,157,251,62.54980079681275
Rank 4+,negative,facade,120,251,47.808764940239044
Rank 4+,negative,feasibility,1,251,0.398406374501992
Rank 4+,negative,fire safety,29,251,11.55378486055777
Rank 4+,negative,flexibility,80,251,31.872509960159363
Rank 4+,negative,functionality,212,251,84.4621513944223
Rank 4+,negative,identity,83,251,33.06772908366534
Rank 4+,negative,landscape,121,251,48.20717131474104
Rank 4+,negative,layout,209,251,83.26693227091633
Rank 4+,negative,massing,141,251,56.17529880478088
Rank 4+,negative,materiality,0,251,0.0
Rank 4+,negative,open space,176,251,70.11952191235059
Rank 4+,negative,operation,107,251,42.62948207171315
Rank 4+,negative,orientation,1,251,0.398406374501992
Rank 4+,negative,phasing,2,251,0.796812749003984
Rank 4+,negative,privacy,27,251,10.756972111553784
Rank 4+,negative,proportion,74,251,29.48207171314741
Rank 4+,negative,regulatory compliance,2,251,0.796812749003984
Rank 4+,negative,safety,55,251,21.91235059760956
Rank 4+,negative,scale,75,251,29.8804780876494
Rank 4+,negative,structure,87,251,34.66135458167331
Rank 4+,negative,sustainability,92,251,36.65338645418327
Rank 4+,negative,topography,43,251,17.131474103585656
Rank 4+,negative,urban integration,183,251,72.90836653386454
Rank 4+,negative,ventilation,15,251,5.9760956175298805
Rank 4+,negative,visibility,63,251,25.099601593625497
